unique_id,block_num,unit_count,case_type_name,submission_year,block_address,occupancy_type,occupancy_or_vacancy_date,occupancy_or_vacancy_date_year,bedroom_count,bathroom_count,square_footage,monthly_rent,base_rent_includes_water,base_rent_includes_natural_gas,base_rent_includes_electricity,base_rent_includes_refuse_recycling,base_rent_includes_other_utilities,past_occupancy,vacancy_date,signature_date,occupancy_or_vacancy_date_history,year_property_built,point,analysis_neighborhood,supervisor_district,data_as_of,data_loaded_at,rent_min,rent_max,rent_avg
1634043601869343907,0643,29,"Housing Inventory - Unit information (2024)",2024,"1600 Block of CALIFORNIA ST","Occupied by non-owner",2010/10/01,2010,0,1,"251-500 Sq.Ft",$1001-$1250,Y,N,N,Y,,,,2024/03/06,,1914,"POINT (-122.421519114 37.790528198)","Nob Hill",3,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",1001,1250,1126
2344943442347037274,0643,29,"Housing Inventory - Unit information (2024)",2024,"1600 Block of CALIFORNIA ST","Occupied by non-owner",2021/12/22,2021,1,1,"251-500 Sq.Ft",$1751-$2000,Y,N,N,Y,,No,,2024/03/06,,1914,"POINT (-122.421519114 37.790528198)","Nob Hill",3,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",1751,2000,1876
8873851813701047245,0643,29,"Housing Inventory - Unit information (2024)",2024,"1600 Block of CALIFORNIA ST","Occupied by non-owner",2009/09/01,2009,0,1,"251-500 Sq.Ft",$1001-$1250,Y,N,N,Y,,,,2024/03/06,,1914,"POINT (-122.421519114 37.790528198)","Nob Hill",3,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",1001,1250,1126
1928383893344716125,0643,29,"Housing Inventory - Unit information (2024)",2024,"1600 Block of CALIFORNIA ST","Occupied by non-owner",2023/06/23,2023,0,1,"251-500 Sq.Ft",$1501-$1750,Y,N,N,Y,"other(steam heat)",,,2024/03/06,,1914,"POINT (-122.421519114 37.790528198)","Nob Hill",3,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",1501,1750,1626
7951315326728949815,0643,29,"Housing Inventory - Unit information (2024)",2024,"1600 Block of CALIFORNIA ST","Occupied by non-owner",2002/08/28,2002,0,1,"251-500 Sq.Ft",$751-$1000,Y,N,N,Y,,,,2024/03/06,,1914,"POINT (-122.421519114 37.790528198)","Nob Hill",3,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",751,1000,876
4468394797910732474,0643,29,"Housing Inventory - Unit information (2024)",2024,"1600 Block of CALIFORNIA ST","Occupied by non-owner",2003/09/22,2003,0,1,"251-500 Sq.Ft",$1001-$1250,Y,N,N,Y,,,,2024/03/06,,1914,"POINT (-122.421519114 37.790528198)","Nob Hill",3,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",1001,1250,1126
3889646698386658261,0643,29,"Housing Inventory - Unit information (2024)",2024,"1600 Block of CALIFORNIA ST","Occupied by non-owner",2020/03/25,2020,0,1,"251-500 Sq.Ft",$1501-$1750,Y,N,N,Y,,,,2024/03/06,,1914,"POINT (-122.421519114 37.790528198)","Nob Hill",3,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",1501,1750,1626
-2435017283245408045,0643,29,"Housing Inventory - Unit information (2024)",2024,"1600 Block of CALIFORNIA ST","Occupied by non-owner",,"Year Unknown (more than 20 years)",1,1,"251-500 Sq.Ft",$751-$1000,Y,N,N,Y,,,,2024/03/06,,1914,"POINT (-122.421519114 37.790528198)","Nob Hill",3,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",751,1000,876
-8658413249433298760,0643,29,"Housing Inventory - Unit information (2024)",2024,"1600 Block of CALIFORNIA ST","Occupied by non-owner",2007/05/01,2007,0,1,"251-500 Sq.Ft",$1001-$1250,Y,N,N,Y,,,,2024/03/06,,1914,"POINT (-122.421519114 37.790528198)","Nob Hill",3,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",1001,1250,1126
-4335941985715789034,0643,29,"Housing Inventory - Unit information (2024)",2024,"1600 Block of CALIFORNIA ST","Occupied by non-owner",2006/12/15,2006,0,1,"251-500 Sq.Ft",$1001-$1250,Y,N,N,Y,,,,2024/03/06,,1914,"POINT (-122.421519114 37.790528198)","Nob Hill",3,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",1001,1250,1126
6845043582612433121,0643,29,"Housing Inventory - Unit information (2024)",2024,"1600 Block of CALIFORNIA ST","Occupied by non-owner",2021/08/20,2021,1,1,"251-500 Sq.Ft",$2001-$2250,Y,N,N,Y,,No,,2024/03/06,,1914,"POINT (-122.421519114 37.790528198)","Nob Hill",3,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",2001,2250,2126
-2488747362018939952,0643,29,"Housing Inventory - Unit information (2024)",2024,"1600 Block of CALIFORNIA ST","Occupied by non-owner",2023/11/18,2023,0,1,"251-500 Sq.Ft",$1501-$1750,Y,N,N,Y,"other(steam heat)",,,2024/03/06,,1914,"POINT (-122.421519114 37.790528198)","Nob Hill",3,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",1501,1750,1626
4677366772444087794,0643,29,"Housing Inventory - Unit information (2024)",2024,"1600 Block of CALIFORNIA ST","Occupied by non-owner",2020/12/26,2020,1,1,"251-500 Sq.Ft","$0 (no rent paid by the occupant)",Y,Y,Y,Y,,,,2024/03/06,,1914,"POINT (-122.421519114 37.790528198)","Nob Hill",3,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",NULL,NULL,NULL
-9120505286709768068,0643,29,"Housing Inventory - Unit information (2024)",2024,"1600 Block of CALIFORNIA ST","Occupied by non-owner",2021/06/12,2021,0,1,"251-500 Sq.Ft",$1501-$1750,Y,N,N,Y,,No,,2024/03/06,,1914,"POINT (-122.421519114 37.790528198)","Nob Hill",3,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",1501,1750,1626
-4060237181133765252,0643,29,"Housing Inventory - Unit information (2024)",2024,"1600 Block of CALIFORNIA ST","Occupied by non-owner",2021/11/12,2021,1,1,"751-1000 Sq.Ft",$2751-$3000,Y,N,N,Y,,No,,2024/03/06,,1914,"POINT (-122.421519114 37.790528198)","Nob Hill",3,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",2751,3000,2876
3974465941895839823,0643,29,"Housing Inventory - Unit information (2024)",2024,"1600 Block of CALIFORNIA ST","Occupied by non-owner",2009/10/09,2009,1,1,"251-500 Sq.Ft",$1501-$1750,Y,N,N,Y,,,,2024/03/06,,1914,"POINT (-122.421519114 37.790528198)","Nob Hill",3,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",1501,1750,1626
7291660649910118031,0643,29,"Housing Inventory - Unit information (2024)",2024,"1600 Block of CALIFORNIA ST","Occupied by non-owner",,"Year Unknown (more than 20 years)",0,1,"251-500 Sq.Ft",$751-$1000,Y,N,N,Y,,,,2024/03/06,,1914,"POINT (-122.421519114 37.790528198)","Nob Hill",3,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",751,1000,876
3521391810533646586,0643,29,"Housing Inventory - Unit information (2024)",2024,"1600 Block of CALIFORNIA ST","Occupied by non-owner",,"Year Unknown (more than 20 years)",0,1,"251-500 Sq.Ft",$501-$750,Y,N,N,Y,,,,2024/03/06,,1914,"POINT (-122.421519114 37.790528198)","Nob Hill",3,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",501,750,626
-4598585088350484839,0643,29,"Housing Inventory - Unit information (2024)",2024,"1600 Block of CALIFORNIA ST","Occupied by non-owner",2021/10/03,2021,0,1,"251-500 Sq.Ft",$1501-$1750,Y,N,N,Y,,No,,2024/03/06,,1914,"POINT (-122.421519114 37.790528198)","Nob Hill",3,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",1501,1750,1626
2594977420972111388,0631,1,"Housing Inventory - Unit information (2024)",2024,"2200 Block of STEINER ST","Occupied by non-owner",2023/02/01,2023,2,2,"2251-2500 Sq.Ft",$7000+,Y,Y,Y,Y,,No,,2024/03/06,,1900,"POINT (-122.435829464 37.790056862)","Pacific Heights",2,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",NULL,NULL,NULL
-4646008385355689625,1734,5,"Housing Inventory - Unit information (2024)",2024,"1500 Block of IRVING ST","Occupied by non-owner",2022/06/01,2022,2,1,"501-750 Sq.Ft",$2751-$3000,Y,Y,N,Y,,No,,2024/03/06,,1962,"POINT (-122.474452971 37.763734209)","Inner Sunset",7,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",2751,3000,2876
-3250848196504250490,1734,5,"Housing Inventory - Unit information (2024)",2024,"1500 Block of IRVING ST","Occupied by non-owner",2008/05/01,2008,0,1,"251-500 Sq.Ft",$1501-$1750,Y,N,N,Y,,,,2024/03/06,,1962,"POINT (-122.474452971 37.763734209)","Inner Sunset",7,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",1501,1750,1626
-5966430750587141208,1734,5,"Housing Inventory - Unit information (2024)",2024,"1500 Block of IRVING ST","Occupied by non-owner",2020/10/11,2020,1,1,"501-750 Sq.Ft",$2251-$2500,Y,N,N,Y,,,,2024/03/06,,1962,"POINT (-122.474452971 37.763734209)","Inner Sunset",7,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",2251,2500,2376
-4262662141369543361,1277,6,"Housing Inventory - Unit information (2024)",2024,"100 Block of GRATTAN ST","Occupied by non-owner",2021/12/01,2021,2,1,"501-750 Sq.Ft",$3001-$3250,Y,N,N,Y,,No,,2024/03/06,,1909,"POINT (-122.450332227 37.763988849)","Haight Ashbury",8,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",3001,3250,3126
6293147111271366843,1277,6,"Housing Inventory - Unit information (2024)",2024,"100 Block of GRATTAN ST","Occupied by non-owner",2024/03/15,2024,2,1,"501-750 Sq.Ft",$2501-$2750,Y,N,N,Y,,,,2024/03/06,,1909,"POINT (-122.450332227 37.763988849)","Haight Ashbury",8,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",2501,2750,2626
6891854228255234782,1277,6,"Housing Inventory - Unit information (2024)",2024,"100 Block of GRATTAN ST","Occupied by non-owner",2011/06/06,2011,2,1,"501-750 Sq.Ft",$2251-$2500,Y,N,N,Y,,,,2024/03/06,,1909,"POINT (-122.450332227 37.763988849)","Haight Ashbury",8,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",2251,2500,2376
5659867193370188839,1277,6,"Housing Inventory - Unit information (2024)",2024,"100 Block of GRATTAN ST","Occupied by non-owner",2021/08/15,2021,2,1,"501-750 Sq.Ft",$2501-$2750,Y,N,N,Y,,No,,2024/03/06,,1909,"POINT (-122.450332227 37.763988849)","Haight Ashbury",8,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",2501,2750,2626
1117892120011473855,1277,6,"Housing Inventory - Unit information (2024)",2024,"100 Block of GRATTAN ST","Occupied by non-owner",2013/02/01,2013,2,1,"501-750 Sq.Ft",$2501-$2750,Y,N,N,Y,,,,2024/03/06,,1909,"POINT (-122.450332227 37.763988849)","Haight Ashbury",8,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",2501,2750,2626
1707828208370245957,3537,1,"Housing Inventory - Unit information (2024)",2024,"0 Block of BELCHER ST","Occupied by non-owner",2021/01/01,2021,3,1,"1501-1750 Sq.Ft",$4501-$4750,Y,N,N,N,,No,,2024/03/06,,1936,"POINT (-122.4302334 37.768523022)","Castro/Upper Market",8,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",4501,4750,4626
4637323674651665608,1734,5,"Housing Inventory - Unit information (2024)",2024,"1500 Block of IRVING ST","Occupied by non-owner",2023/09/02,2023,0,1,"251-500 Sq.Ft",$1751-$2000,Y,N,N,Y,,Yes,,2024/03/07,,1962,"POINT (-122.474452971 37.763734209)","Inner Sunset",7,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",1751,2000,1876
-1236598573559602248,0273,22,"Housing Inventory - Unit information (2024)",2024,"600 Block of POWELL ST","Occupied by non-owner",2005/10/05,2005,3,1,"1001-1250 Sq.Ft",$3001-$3250,Y,N,N,Y,,,,2024/03/07,,1922,"POINT (-122.408921263 37.790477387)","Nob Hill",3,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",3001,3250,3126
-4142580359401605201,0273,22,"Housing Inventory - Unit information (2024)",2024,"600 Block of POWELL ST","Occupied by non-owner",1988/05/05,1988,1,1,"501-750 Sq.Ft",$1001-$1250,Y,N,N,Y,,,,2024/03/07,,1922,"POINT (-122.408921263 37.790477387)","Nob Hill",3,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",1001,1250,1126
-7782249639589188672,0273,22,"Housing Inventory - Unit information (2024)",2024,"600 Block of POWELL ST","Occupied by non-owner",2022/05/18,2022,1,1,"501-750 Sq.Ft",$2251-$2500,Y,N,N,Y,,No,,2024/03/07,,1922,"POINT (-122.408921263 37.790477387)","Nob Hill",3,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",2251,2500,2376
8883189740734977876,0273,22,"Housing Inventory - Unit information (2024)",2024,"600 Block of POWELL ST","Occupied by non-owner",2021/08/01,2021,1,1,"501-750 Sq.Ft",$1751-$2000,Y,N,N,Y,,No,,2024/03/07,,1922,"POINT (-122.408921263 37.790477387)","Nob Hill",3,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",1751,2000,1876
8711366013976121606,0273,22,"Housing Inventory - Unit information (2024)",2024,"600 Block of POWELL ST","Occupied by non-owner",2020/08/01,2020,1,1,"501-750 Sq.Ft",$2251-$2500,Y,N,N,Y,,,,2024/03/07,,1922,"POINT (-122.408921263 37.790477387)","Nob Hill",3,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",2251,2500,2376
-5391775474443068389,0273,22,"Housing Inventory - Unit information (2024)",2024,"600 Block of POWELL ST","Occupied by non-owner",2020/03/01,2020,2,1,"1001-1250 Sq.Ft",$2501-$2750,Y,N,N,Y,,,,2024/03/07,,1922,"POINT (-122.408921263 37.790477387)","Nob Hill",3,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",2501,2750,2626
-1809386120936697500,0273,22,"Housing Inventory - Unit information (2024)",2024,"600 Block of POWELL ST","Occupied by non-owner",2011/03/04,2011,2,1,"1001-1250 Sq.Ft",$2501-$2750,Y,N,N,Y,,,,2024/03/07,,1922,"POINT (-122.408921263 37.790477387)","Nob Hill",3,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",2501,2750,2626
4233330347909351264,3537,4,"Housing Inventory - Unit information (2024)",2024,"100 Block of CHURCH ST","Occupied by non-owner",1995/06/01,1995,2,1,"1251-1500 Sq.Ft",$1751-$2000,N,N,N,N,,,,2024/03/06,,1900,"POINT (-122.429159883 37.769061236)","Castro/Upper Market",8,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",1751,2000,1876
-3109958299017861082,3537,4,"Housing Inventory - Unit information (2024)",2024,"100 Block of CHURCH ST","Occupied by non-owner",2006/11/15,2006,2,1,"1251-1500 Sq.Ft",$2501-$2750,Y,N,N,Y,,,,2024/03/06,,1900,"POINT (-122.429159883 37.769061236)","Castro/Upper Market",8,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",2501,2750,2626
8191966346348794408,0273,22,"Housing Inventory - Unit information (2024)",2024,"600 Block of POWELL ST","Occupied by non-owner",1989/02/04,1989,2,1,"1001-1250 Sq.Ft",$1751-$2000,Y,N,N,Y,,,,2024/03/07,,1922,"POINT (-122.408921263 37.790477387)","Nob Hill",3,"2025/06/27 01:30:38 AM","2025/06/27 06:07:13 AM",1751,2000,1876
